lemma,n_instances,n_paragraphs,tfidf_rank,example_forms,example_para_ids,enrichment_score,in_current_seeds,keep
convalecencia,2,2,2618,convalecencia,,1.753,False,
diamante,2,2,3628,diamante; diamantes,,1.753,False,
billar,2,2,3674,billar,,1.753,False,
decrepitud,2,2,2434,decrepitud,,1.753,False,
tutelar,2,2,3516,tutela; hado tutelar,,3.362,False,
literato,2,2,2552,literato; literatos,,1.753,False,
tergiversacion,2,2,3452,tergiversación; tergiversaciones,,1.753,False,
moralista,2,2,3143,moralistas; moralistas del siglo XIX,,1.753,False,
ecuacion,2,2,3230,ecuaciones simbólicas; ecuación simbólica,,1.753,False,
populacho,2,2,3056,populacho; populachos demenciales,,1.753,False,
sable,2,2,2841,sable; sables,,1.753,False,
modulacion,2,2,3130,modulaciones,,1.753,False,
fiel,2,2,1484,el Tesoro de los fieles; Madre de los fieles,,1.753,False,
helicoidal,2,2,3245,movimientos helicoidales; escaleras helicoidales,,1.753,False,
evasivo,2,2,5193,circularidad evasiva; movimiento evasivo,,1.753,False,
vacilacion,2,2,2840,vacilación,,1.753,False,
criado,2,2,3216,relación amo y criado; lugar del criado,,1.753,False,
corona,2,2,2162,corona de gloria; corona de espinas,,1.753,False,
boton,2,2,3709,botón; botones,,1.753,False,
preparacion,2,2,3053,preparación psicológica; preparación del espíritu,,1.753,False,
afectivo,2,2,2927,error afectivo,,1.753,False,
complicado,2,2,2847,existencialmente complicado; espíritu complicado,,1.753,False,
trascendente,2,2,2663,empresa trascendente de investigación de la verdad; valor trascendente,,1.753,False,
restriccion,2,2,3088,restricción esencial; restricciones,,1.753,False,
colaboracionistar,2,2,3826,no colaboracionistas,,1.753,False,
colaboracionista,2,2,3825,colaboracionistas,,1.753,False,
desexiliir,2,2,3207,desexilio,,1.753,False,
permanencia,2,2,2859,permanencia; permanencia en el país,,1.753,False,
subjetivismo,2,2,3962,subjetivismo; subjetivismo trágico,,3.362,False,
exportacion,2,2,3688,exportación del tifus; exportación,,1.753,False,
eventual,2,2,3243,protagonismo eventual del individuo; dolo eventual,,1.753,False,
espanto,2,2,2978,espanto,,1.753,False,
revocacion,2,2,2350,revocación,,1.753,False,
execracion,2,2,3336,execraciones,,1.753,False,
destitucion,2,2,2637,destitución; destitución histórica,,1.753,False,
primogeniturar,2,2,2531,primogenitura,,1.753,False,
declarativo,2,2,4403,bizantismo declarativo; ley declarativa,,1.753,False,
intermitente,2,2,2419,intermitentes relampagueos; función intermitente de sujetos,,1.753,False,
apocalipsis,2,2,3100,Apocalipsis,,1.753,False,
multiplicacion,2,2,2970,multiplicación,,1.753,False,
compenetracion,2,2,3496,compenetración,,3.362,False,
capricho,2,2,3805,capricho; caprichos,,1.753,False,
infinitar,2,2,2497,Sustancia infinita; infinita,,1.753,False,
escuchar,2,2,2708,ser escuchado; lector escucha,,1.753,False,
sensatez,2,2,3839,sensatez,,1.753,False,
limpio,2,2,2999,guerras limpias,,1.753,False,
tapado,2,2,2571,tapado de piel; tapado,,1.753,False,
siervo,2,2,1820,siervos de Dios; siervos,,1.753,False,
irrevocable,2,2,2555,Separación irrevocable; irrevocable,,1.753,False,
higo,2,2,2312,tiempo de los higos; higo maduro,,1.753,False,
vivacidad,2,2,4432,vivaldiana vivacidad; vivacidad de historias,,3.362,False,
descriptivo,3,2,3905,texto descriptivo; poder descriptivo; pericia descriptiva,,1.753,False,
saciedad,2,2,2969,saciedad de los espíritus; saciedad,,1.753,False,
honra,2,2,2130,honra de Dios; honras fúnebres,,1.753,False,
definitorio,2,2,4829,arquetipos definitorios; definitorio,,3.362,False,
excluyente,2,2,3904,tipos excluyentes; causa excluyente de la culpabilidad,,1.753,False,
visionario,2,2,2869,visionario; visionaria rememoración,,1.753,False,
metaforica,2,2,3774,metafórica moral; mutaciones metafóricas,,1.753,False,
antidoto,2,2,3299,antídoto cristiano; antídoto,,1.753,False,
privilegiado,2,2,2385,ciudad privilegiada; topos privilegiado,,1.753,False,
tifus,2,2,3026,exportación del tifus; tifus masónico,,1.753,False,
casita,2,2,2423,casita de cristal; casita,,1.753,False,
suelo,2,2,3325,suelo,,1.753,False,
silogismo,2,2,3831,silogismo; silogismo débil,,1.753,False,
medium,2,2,3677,medium; poeta como médium,,1.753,False,
indumentaria,2,2,3950,indumentaria especial; indumentarias,,1.753,False,
elegido,2,2,2233,elegidos; Pueblo elegido,,1.753,False,
prototipo,2,2,3714,prototipo; prototipos,,1.753,False,
bomba,2,2,3563,bombas; bombas convencionales,,1.753,False,
sugestion,2,2,2893,sugestión,,1.753,False,
banalidad,2,2,3386,banalidades,,1.753,False,
epiteto,2,2,3196,epítetos; epíteto uncanny,,3.362,False,
trinchera,2,2,2473,trincheras,,1.753,False,
glorioso,2,2,2081,promesas de dominación gloriosa; Reino glorioso,,1.753,False,
fecundidad,2,2,3212,fecundidad,,1.753,False,
escucha,2,2,2644,escucha,,1.753,False,
clandestinidad,2,2,3410,clandestinidad,,1.753,False,
vientre,2,2,2952,vientres humanos; vientre del Entregador,,1.753,False,
pollerar,2,2,3689,pollera; pollera a cuadros,,1.753,False,
aullido,2,2,3572,aullido del perro; aullidos,,1.753,False,
carpeto,2,2,4643,carpeta,,1.753,False,
aborto,2,2,4317,aborto; abortos,,1.753,False,
alfiler,2,2,3964,alfileres; alfiler de corbata,,1.753,False,
cal,2,2,3292,cal,,1.753,False,
crater,2,2,4355,cráteres,,1.753,False,
raso,2,2,4332,raso; zapatos de raso,,1.753,False,
conejo,2,2,2851,borde del conejo; botitas de piel de conejo,,1.753,False,
burbuja,2,2,3248,burbujas,,1.753,False,
libidinosidad,2,2,2773,libidinosidad; libidinosidad de los vínculos militares,,1.753,False,
brasilero,2,2,2730,pasión brasilera,,1.753,False,
violin,2,2,2444,violín,,1.753,False,
muralla,2,2,1856,dos murallas; muralla Mora,,1.753,False,
himno,2,2,3082,himno sarmientino; himnos,,1.753,False,
anestesia,2,2,3372,anestesias; anestesia lunar y crepuscular,,1.753,False,
cana,2,2,3671,vasito de caña; cañas,,1.753,False,
nato,2,2,3194,NATO,,1.753,False,
peca,2,2,3765,pecas,,1.753,False,
pano,2,2,2619,paño,,1.753,False,
alcanfor,2,2,2562,alcanfor,,1.753,False,
regalo,2,2,4873,regalo,,1.753,False,
tejado,2,2,4108,tejado; tejados,,3.362,False,
idolatra,2,2,2383,idólatras,,1.753,False,
conservador,2,2,3124,conservadores; conservador,,1.753,False,
anecdota,2,2,2849,anécdotas,,1.753,False,
fallo,2,2,2343,fallo; fallo condenatorio,,1.753,False,
anarquismo,2,2,2436,anarquismo estetizante; anarquismo,,3.362,False,
paradoja,2,2,3796,paradojas,,1.753,False,
lumpir,2,2,4448,lumpen,,1.753,False,
infalible,2,2,2470,secreto infalible; infalible,,1.753,False,
proletario,3,2,2854,proletarios; proletario; El niño proletario,,1.753,False,
espantoso,2,2,2292,penitencia espantosa; nombres espantosos,,1.753,False,
gangren,2,2,2858,gangrena,,1.753,False,
tobillo,2,2,5263,tobillo; tobillos,,1.753,False,
cucaracha,2,2,5878,cucarachas; cucaracha,,3.362,False,
botella,3,2,5440,botella; botellas,,1.753,False,
precario,2,2,2855,condición precaria; democratización precaria,,1.753,False,
poderio,2,2,2255,poderío,,1.753,False,
asuncion,2,2,3035,asunción,,1.753,False,
sufrir,2,2,1910,Dios que sufre; sufrir,,1.753,False,
tipografico,2,2,2662,producción tipográfica; composición tipográfica,,1.753,False,
postumo,2,2,1883,obra póstuma; publicación póstuma,,1.753,False,
armamento,2,2,4001,armamento,,1.753,False,
pacifismo,2,2,3051,pacifismo humanista; pacifismo,,1.753,False,
enajenacion,2,2,3075,enajenación; enajenación del lenguaje,,1.753,False,
orientacion,2,2,3320,pérdida de orientación; orientaciones interpretativas,,1.753,False,
peluca,2,2,5293,peluca,,1.753,False,
liquido,2,2,2457,líquidos excrementales; líquidos,,1.753,False,
incensario,2,2,2532,incensario; incensarios,,1.753,False,
lepra,2,2,3064,lepra,,1.753,False,
sempiterno,2,2,2622,Pacto sempiterno; oprobio sempiterno,,1.753,False,
huerfano,2,2,2921,huérfanos de Leviatán; huérfanos,,1.753,False,
vagabundo,2,2,2817,vagabundos; Liberador vagabundo,,1.753,False,
basilica,2,2,3474,basílicas,,1.753,False,
legitimacion,2,2,3643,legitimación subjetiva; legitimación,,1.753,False,
suboficial,2,2,4105,suboficiales,,1.753,False,
educacional,2,2,4462,política educacional; instituciones educacionales,,1.753,False,
tecnocracia,2,2,4386,tecnocracia,,1.753,False,
antagonismo,2,2,1762,antagonismo,,1.753,False,
incomprensible,2,2,3969,incomprensible,,1.753,False,
huelga,2,2,4068,huelga general; huelgas,,1.753,False,
descarga,2,2,3225,descarga de materiales; descarga orgásmica,,1.753,False,
semanario,2,2,3898,redacción de semanarios; semanarios,,1.753,False,
redaccion,2,2,3275,redacción de semanarios; redacción,,1.753,False,
copistar,2,2,4343,copista,,3.362,False,
fresco,2,2,4535,carne fresca; aire fresco,,1.753,False,
cuchilla,2,2,4482,cuchilla,,1.753,False,
llavero,2,2,4352,llavero de oro; llaveros,,1.753,False,
sano,2,2,4208,in corpore sano; sana,,1.753,False,
fundacion,2,2,3908,fundación de la Iglesia; fundaciones piadosas,,1.753,False,
expatriacion,2,2,3174,expatriación interna; expatriación,,1.753,False,
antimilitarismo,2,2,3382,antimilitarismo,,1.753,False,
fecha,2,2,2675,fecha,,1.753,False,
calculado,2,2,2599,ficción calculada,,1.753,False,
dinamico,2,2,3561,fase dinámica; todo dinámico,,3.362,False,
hebreo,2,2,2344,liturgia hebrea; hebreos,,1.753,False,
improperio,2,2,2765,Improperios,,1.753,False,
deicidio,2,2,3354,deicidio,,1.753,False,
fanatismo,2,2,2923,fanatismo español; fanatismo,,1.753,False,
matanza,2,2,3397,matanza de los hugonotes; matanza de civiles indefensos,,1.753,False,
eficaz,2,2,3684,sacramentalmente eficaz; respuesta eficaz,,1.753,False,
inmovil,2,2,2942,motor inmóvil; inmóviles,,1.753,False,
parpado,2,2,4283,parpado; párpados,,1.753,False,
osito,2,2,5180,osito,,1.753,False,
corbata,2,2,4049,corbata; alfiler de corbata,,1.753,False,
decadente,2,2,2867,universalismo decadente; Decadente,,1.753,False,
pompa,2,2,2482,pompas dolorosas del Cristianismo; pompa y majestad,,1.753,False,
perseguidor,2,2,2382,perseguidores,,1.753,False,
afliccion,2,2,2716,aflicción,,1.753,False,
cautiverio,2,2,2388,cautiverio,,1.753,False,
representante,2,2,3589,representantes y beneficiarios locales de la sumisión; representante de los particulares damnificados,,1.753,False,
esti el,2,2,,estilos; mímesis de estilos,,1.753,False,
desorganizacion,2,2,2481,desorganización moral; desorganización del lenguaje,,3.362,False,
fratricidio,2,2,3178,fratricidio,,1.753,False,
gema,2,2,2703,gema,,3.362,False,
hiperbo el,2,2,,hipérbole de piedad; hipérbole,,1.753,False,
gentil,2,2,2198,gentiles,,1.753,False,
jueves,2,2,2307,Jueves Santo; Maitines del Jueves absoluto,,1.753,False,
vigor,2,2,2527,vigor; entrada en vigor,,1.753,False,
tropico,2,2,3252,trópico,,1.753,False,
humanizacion,2,2,3640,humanización,,1.753,False,
portamoneda,2,2,3096,cuestión de portamonedas; portamonedas,,1.753,False,
prefiguracion,2,2,3870,prefiguraciones; prefiguración,,1.753,False,
orgasmico,2,2,3615,sadismo orgásmico; descarga orgásmica,,1.753,False,
sociologico,2,2,3227,referencias sociológicas,,1.753,False,
indice,2,2,3319,índices; índice,,1.753,False,
modificacion,2,2,3072,modificación de la trama; modificación de la ley penal,,1.753,False,
elegancia,2,2,3170,elegancia,,1.753,False,
simetrico,2,2,3633,retórica simétrica invertida; lo simétrico,,1.753,False,
plebir,2,2,3764,plebe argentina; plebe,,1.753,False,
impuro,2,2,2778,verbos impuros; pensamientos sexualmente impuros,,1.753,False,
oir,2,2,3500,oír,,1.753,False,
malditismo,2,2,2764,malditismo; malditismo esteticista,,1.753,False,
inercia,2,2,4240,inercia; inercia lingüística,,3.362,False,
homogeneizacion,2,2,2206,homogeneización,,1.753,False,
zanco,2,2,3482,zancos; zancos infantiles,,1.753,False,
crucificar,2,2,1827,Jesús crucificado; crucificar,,1.753,False,
combinacion,2,2,3445,combinación de sílabas; lógica de las combinaciones,,1.753,False,
desenlace,2,2,2064,Modificación del desenlace; desenlaces,,1.753,False,
plagio,2,2,3032,plagio,,1.753,False,
extravaganciar,2,2,2909,extravagancia,,1.753,False,
filantropico,2,2,3198,establecimiento filantrópico; profesión filantrópica,,1.753,False,
sainete,2,2,3177,sainete,,1.753,False,
pirata,2,2,4140,novelas de piratas; remolcador pirata,,1.753,False,
zorrir,2,2,3648,zorro,,1.753,False,
bestial,2,2,3700,uso bestial; lo bestial,,1.753,False,
salvifico,2,2,3356,misión salvífica; eficacia salvífica,,1.753,False,
genocidio,2,2,3060,genocidio,,1.753,False,
autorizacion,2,2,2790,autorización,,1.753,False,
obus,2,2,2600,agujero de obús; obús,,1.753,False,
hermetismo,2,2,4013,hermetismo,,1.753,False,
folklorico,2,2,2267,modelo folklórico; folklórico,,1.753,False,
postracion,2,2,2911,postración; postración nerviosa,,1.753,False,
fijacion,2,2,3477,fijación,,1.753,False,
ministro,2,2,2789,ministro,,1.753,False,
actuar,2,2,2812,libertad de actuar; actuar consciente,,1.753,False,
sequedad,2,2,2898,sequedad,,1.753,False,
fulgurancia,2,2,3228,fulgurancia,,3.362,False,
suspensivo,2,2,3291,puntos suspensivos,,1.753,False,
articulador,2,2,2649,articuladores de suspenso; articuladores,,1.753,False,
extremo,2,2,3176,extremos; obediencia extrema de las órdenes militares,,1.753,False,
humanistico,2,2,3672,fines humanísticos; jurisprudencia humanística,,1.753,False,
emprestito,2,2,2965,empréstitos; empréstito mejicano,,1.753,False,
mercancia,2,2,3381,mercancías; stock de mercancías,,1.753,False,
falaz,3,2,3074,razonamientos falaces; argumentos falaces,,4.971,False,
redoma,2,2,3818,redomas,,1.753,False,
escritorio,2,2,4961,escritorio,,1.753,False,
bienaventurado,2,2,1826,bienaventurados; bienaventurado,,1.753,False,
oceano,2,2,3115,océano,,1.753,False,
vinagrar,2,2,2342,vinagre,,1.753,False,
falico,2,2,4037,jactancia fálica; símbolo fálico,,1.753,False,
psiquiatra,2,2,3552,psiquiatras; psiquiatra,,1.753,False,
volver,2,2,2968,volver; volver a decir,,1.753,False,
inmobiliario,2,2,3303,especulación inmobiliaria; inmobiliaria,,1.753,False,
prevaricacion,2,2,2938,prevaricación,,1.753,False,
stock,2,2,4270,stock de mercancías; stock,,1.753,False,
iluminismo,2,2,4702,iluminismo,,1.753,False,
discipulo,2,2,1722,discípulo,,1.753,False,
europeismo,3,2,5945,europeísmo; europeísmo antipopular,,1.753,False,
torrir,2,2,4291,torre,,3.362,False,
limon,2,2,2834,limón,,1.753,False,
talisman,2,2,3792,talismán,,1.753,False,
recipient,2,2,3817,recipientes,,1.753,False,
malicia,2,2,1420,malicia,,1.753,False,
terrenal,2,2,2745,Reino terrenal; peregrinaje terrenal,,1.753,False,
criatura,2,2,2680,criaturas,,1.753,False,
nacionalista,2,2,5017,ideal nacionalista; voluntarismo nacionalista,,4.971,False,
irreductibilidad,2,2,3461,irreductibilidad,,3.362,False,
colonialismo,2,2,3315,colonialismo,,1.753,False,
navegacion,2,2,4183,empresa de navegación; navegación procelosa y ascensional,,3.362,False,
premonitorio,2,2,2950,signo premonitorio; visión premonitoria,,1.753,False,
instalacion,2,2,4167,instalaciones; instalación del Papa en Jerusalén,,1.753,False,
cliente,2,2,3808,clientes; cliente,,1.753,False,
cantidad,2,2,2142,cantidad,,1.753,False,
asimilacion,2,2,2985,asimilación; Asimilaciones escriturarias,,1.753,False,
majestad,2,2,3011,Majestad sagrada; pompa y majestad,,1.753,False,
sirena,2,2,2441,sirena de una fábrica; sirena,,1.753,False,
crucificacion,2,2,1700,crucificación,,1.753,False,
querer,2,2,1998,querer,,1.753,False,
extatico,2,2,3549,extáticos; vida extática,,3.362,False,
languidez,2,2,3318,languideces; languidez del discurso,,1.753,False,
cerradura,2,2,4253,agujero de cerradura; cerraduras,,1.753,False,
agujero,2,2,3649,agujero de cerradura; agujero de obús,,1.753,False,
demostrativo,2,2,3454,estrategia demostrativa; demostrativo,,1.753,False,
hegemonico,2,2,3926,grupos hegemónicos; discursos hegemónicos,,1.753,False,
extranamiento,2,2,3030,extrañamiento,,3.362,False,
cronologico,2,2,3959,etnocentrismo cronológico; legibilidad cronológica,,3.362,False,
usurario,2,2,3639,negocio usurario; préstamos usurarios,,1.753,False,
noticia,2,2,4099,noticias policiales,,1.753,False,
criollismo,2,2,5054,criollismo,,4.971,False,
precariedad,2,2,3008,precariedad,,1.753,False,
actuacion,2,2,2696,actuación,,1.753,False,
repulsion,2,2,2816,repulsión de piel; repulsión,,1.753,False,
venidero,2,2,4282,generaciones venideras; raza venidera,,1.753,False,
esgrimista,2,2,4768,esgrimista,,1.753,False,
vigilar,2,2,2731,vigilaba; vigilar y castigar,,1.753,False,
limpieza,2,2,2461,gran limpieza; limpieza pequeñoburguesa,,1.753,False,
cerebro,2,2,2327,cerebro,,1.753,False,
correa,2,2,3049,Golpes de correas con plomos; correas de cuero,,1.753,False,
migratorio,2,2,2957,aves migratorias; carácter migratorio,,1.753,False,
temblor,2,2,2853,temblor,,1.753,False,
rusticidad,2,2,4600,rusticidad,,1.753,False,
radical,2,2,3730,alteralidad radical; militancia radical,,1.753,False,
institucionalizado,2,2,4749,poder institucionalizado; texto institucionalizado,,1.753,False,
totalizacion,2,2,5456,totalización,,3.362,False,
juzgamiento,2,2,3373,juzgamiento,,1.753,False,
escritora,2,2,3211,escritora,,1.753,False,
inutil,2,2,3790,persecución inútil; barbarie inútil,,1.753,False,
mercantil,2,2,2948,mercantiles; emulación mercantil,,1.753,False,
estafa,2,2,3046,estafas; estafa,,1.753,False,
apunte,2,2,3333,apuntes; libreta de apuntes,,1.753,False,
sindrome,2,2,3729,síndrome,,3.362,False,
patibulo,2,2,2679,patíbulo; patíbulos,,1.753,False,
facon,2,2,2887,facón,,1.753,False,
paisano,2,2,2888,paisano,,1.753,False,
encaje,2,2,3882,encajes; encaje de sujetos,,1.753,False,
icono,2,2,5020,icono; ícono religioso,,1.753,False,
acreedor,3,2,1876,acreedores; acreedor,,1.753,False,
furtivo,2,2,2237,hora furtiva; mirada furtiva,,1.753,False,
difusion,2,2,2488,difusión de las alegrías; difusión universal,,1.753,False,
irracional,2,2,3782,fuerza irracional; lo irracional,,1.753,False,
arqueologico,2,2,2980,materialidad arqueológica; saber arqueológico,,1.753,False,
confiado,2,2,3731,confiado; yo confiado,,1.753,False,
desinteresado,2,2,3590,desinteresado; desinteresados,,1.753,False,
entusiasta,2,2,3645,entusiasta; colmatación entusiasta,,1.753,False,
incomodidad,2,2,2591,incomodidad,,1.753,False,
coche,2,2,3004,coche; coche de caballos,,1.753,False,
tibio,2,2,2728,sangre tibia; cuerpo tibio,,1.753,False,
sopor,2,2,2966,sopor,,1.753,False,
norte,2,2,3417,norte de Santa Fe; norte de Africa,,1.753,False,
aspero,2,2,3676,camino áspero y cimarrón; contacto áspero,,1.753,False,
volcan,2,2,2733,volcán de horror; rugido de los volcanes,,1.753,False,
inexplicable,2,2,2636,lo inexplicable,,1.753,False,
indefectible,2,2,2585,indefectible; aplicación indefectible,,1.753,False,
anatema,2,2,2698,raza anatema; anatema,,1.753,False,
adoracion,2,2,2502,Adoración de la Cruz; adoración de sí misma,,1.753,False,
mediador,2,2,3220,mediador de relaciones materiales; mediador,,1.753,False,
pintar,2,2,3449,pintar batik; se pinta,,1.753,False,
pretorio,2,2,2329,pretorio; pretorio de Pilatos,,1.753,False,
semito,2,2,3614,carne semita; ario/semita,,1.753,False,
naufragio,2,2,3173,naufragio,,1.753,False,
fallido,2,2,4131,conjuro fallido; acto fallido,,3.362,False,
caliente,2,2,3923,sangre caliente; baño caliente,,1.753,False,
tranquilo,2,2,3871,animales tranquilos; tranquila aparición de las cosas,,1.753,False,
gordo,2,2,2725,Becerro gordo,,1.753,False,
exactor,2,2,2150,exactores; exactor,,1.753,False,
futbol,2,2,2566,fútbol,,1.753,False,
ballena,2,2,2842,ballenas; ballena blanca,,3.362,False,
mapa,2,2,2616,mapas,,1.753,False,
espiral,2,2,3065,espiral,,1.753,False,
movilidad,2,2,3604,movilidad del mundo; movilidad,,1.753,False,
fantasmatico,2,2,3201,fantasmática; fantasmático,,3.362,False,
frustrado,2,2,4309,héroe frustrado; lujuria frustrada,,3.362,False,
tapiz,2,2,3328,tapiz,,3.362,False,
populista,2,2,4151,populistas; sublimación populista,,1.753,False,
novelesco,2,2,5076,diálogo novelesco; texto novelesco,,1.753,False,
fascista,2,2,3856,fascista; soldado fascista,,1.753,False,
celta,2,2,3427,celtas; lugar celta,,1.753,False,
nostalgico,2,2,2593,restos nostálgicos; escritura nostálgica,,1.753,False,
providencia,2,2,3423,providencia,,1.753,False,
fatalidad,3,2,3304,fatalidad; fatalidad del acontecimiento,,1.753,False,
paginar,2,2,2805,página en blanco,,1.753,False,
insomnio,2,2,4245,insomnio; insomnio pasional,,1.753,False,
caprichoso,2,2,3824,caprichoso; pormenores caprichosos,,3.362,False,
inefable,2,2,2249,ternura inefable; lo inefable,,1.753,False,
desdicha,2,2,2303,desdicha,,1.753,False,
comerciante,2,2,3691,comerciantes; comerciante clandestino,,1.753,False,
interpolacion,2,2,3857,interpolaciones; interpolación,,3.362,False,
videncia,2,2,4327,videncias,,1.753,False,
universalidad,2,2,2813,universalidad,,3.362,False,
ritualizacion,2,2,3192,ritualización de la muerte; ritualización,,1.753,False,
amaestrado,2,2,3108,La Muerte amaestrada o prevista; muerte amaestrada,,1.753,False,
vapor,2,2,3668,vapores pestilentes; máscaras de vapor de agua,,3.362,False,
diasporar,2,2,2971,diáspora,,1.753,False,
afeminado,2,2,3728,temperamentos afeminados; afeminado,,1.753,False,
temperamento,2,2,2295,temperamentos afeminados; temperamento,,1.753,False,
concupiscencia,2,2,1892,concupiscencia,,1.753,False,
conjuro,3,2,3966,conjuro; conjuro fallido,,1.753,False,
solicitud,2,2,3188,solicitud; cartas de solicitud de empleo,,1.753,False,
guardar,2,2,2639,guarda; guarda de la Constitución,,1.753,False,
antagonismos,2,2,2180,alba de los antagonismos humanos; antagonismos eternos,,1.753,False,
relativizacion,2,2,4165,relativización del concepto de autor personal; relativización,,3.362,False,
impresionista,2,2,2873,lectura impresionista; identificación impresionista,,1.753,False,
pudor,3,2,3193,pudor; pudor argentino; pudores,,3.362,False,
ruisenor,2,2,3636,ruiseñores; ruiseñor,,3.362,False,
obsesivo,2,2,3836,imagen obsesiva; obsesivo/soñar despierto,,1.753,False,
otono,2,2,3998,otoño de la Edad Media; soleada mañana de otoño,,1.753,False,
desgraciado,2,2,3468,desgraciada sensación; lo desgraciado,,1.753,False,
desgano,2,2,2425,desgano,,1.753,False,
encadenado,2,2,3239,encadenado; parejas encadenadas,,3.362,False,
huesped,2,2,2512,huésped,,1.753,False,
desviacion,2,2,3054,desviaciones; desviación movilizadora,,1.753,False,
interlocutor,2,2,3256,interlocutor ausente; interlocutores,,1.753,False,
textura,2,2,3653,texturas; textura de las palabras,,1.753,False,
aromar,2,2,3066,aromas,,1.753,False,
clamidir,2,2,2379,clámide; clámide sidonia,,1.753,False,
gauchesco,2,2,3434,gauchesco; literatura gauchesca,,3.362,False,
epileptico,2,2,1844,imágenes epilépticas; Gran Mal epiléptico,,1.753,False,
prensa,2,2,5567,prensa; prensa política,,1.753,False,
topo,2,2,3153,topos geográfico; topos privilegiado,,1.753,False,
lapida,2,2,2692,lápida; lápidas,,1.753,False,
tumbar,2,2,3235,tumbas,,1.753,False,
rehen,2,2,3652,rehén; asesinato de rehenes,,1.753,False,
ablucion,2,2,3727,abluciones,,1.753,False,
etnia,2,2,3145,etnia; etnia originaria,,1.753,False,
etnografo,3,2,3611,etnógrafo; etnógrafo físico,,1.753,False,
carnivoro,2,2,4261,carnívoros; planta carnívora,,1.753,False,
rugido,2,2,3161,rugido de los volcanes; rugido,,1.753,False,
desnudo,2,2,2701,desnudo; yo desnudo,,1.753,False,
cabalistico,2,2,3822,lenguaje cabalístico; significados cabalísticos,,1.753,False,
fetichizacion,2,2,3747,fetichización; fetichización de la palabra,,3.362,False,
sacerdotisa,2,2,3097,sacerdotisas,,1.753,False,
epidemia,2,2,3749,epidemias; epidemia,,3.362,False,
interaccion,2,2,3226,interacción virtual; interacción cotidiana,,1.753,False,
imaginado,2,2,4461,contacto imaginado; cuerpo imaginado,,1.753,False,
hermoso,2,2,2345,hermosa muerte; hermosa,,1.753,False,
moribundo,2,2,2405,moribundo; iniciativa del moribundo,,1.753,False,
clausula,2,2,2648,cláusulas pías; cláusula constitucional,,1.753,False,
manto,2,2,3900,manto púrpura; mantos oscuros,,1.753,False,
suntuoso,2,2,3739,objetos suntuosos; carbonillas suntuosas,,1.753,False,
criaturar,2,2,2693,criatura,,1.753,False,
divan,2,2,3103,diván,,1.753,False,
perversidad,2,2,2838,perversidad,,1.753,False,
ontico,3,2,3519,contradicción óntica; estatuto óntico; pasividad óntica,,1.753,False,
trafico,2,2,3875,tráfico con Dios; tráfico con el dinero,,1.753,False,
rayo,2,2,2156,rayo; rayos,,1.753,False,
firmamento,2,2,2460,firmamento,,1.753,False,
muchedumbre,2,2,3481,muchedumbre; Padre elevado de la muchedumbre,,1.753,False,
condenacion,2,2,1630,condenación,,1.753,False,
humilde,2,2,2614,gente muy humilde; lo humilde,,1.753,False,
salto,2,2,3629,salto semiológico; saltos pindáricos,,1.753,False,
levantamiento,2,2,2905,levantamiento; levantamientos de París,,1.753,False,
solidaridad,2,2,3409,solidaridad; solidaridad de las sentencias,,1.753,False,
separado,2,2,2712,objeto separado; órganos separados,,1.753,False,
plebeyo,2,2,3238,plebeyo; trabajos plebeyos,,1.753,False,
moralejo,2,2,2549,moraleja de apólogo; moraleja,,1.753,False,
manual,2,2,3550,manuales; manual antropológico,,1.753,False,
maxima,2,2,3007,máximas; principios y máximas,,1.753,False,
cotidianeidad,2,2,2826,cotidianeidad; apertura de una cotidianeidad democrática,,1.753,False,
judeidad,2,2,2235,judeidad,,1.753,False,
lucido,2,2,2713,tacto lúcido; humanismo lúcido,,1.753,False,
tocador,2,2,4184,tocador,,1.753,False,
decadentismo,2,2,4483,decadentismo,,1.753,False,
hielo,2,2,2093,hielo; flujo de los hielos,,1.753,False,
parcialidad,2,2,3162,parcialidad; equivalencia de las parcialidades,,1.753,False,
excepcional,2,2,3005,visitas excepcionales; circunstancias excepcionales,,1.753,False,
banca,2,2,3402,banca judía,,1.753,False,
incompatibilidad,2,2,3163,incompatibilidad de intereses; incompatibilidad normativa,,1.753,False,
boda,2,2,3868,boda; bodas,,1.753,False,
purpura,2,2,3637,manto púrpura; púrpuras,,1.753,False,
mercantilismo,2,2,2795,instinto de mercantilismo; mercantilismo,,1.753,False,
espera,2,2,2291,ley de espera; la espera,,1.753,False,
fervor,2,2,3408,fervor,,1.753,False,
dirigido,2,2,3891,palabra dirigida confidencialmente; sueños dirigidos,,1.753,False,
flaubertian,2,2,2574,distancia flaubertiana; arqueología flaubertiana,,1.753,False,
cliche,2,2,3479,cliché,,1.753,False,
supraterrenal,2,2,3244,lo supraterrenal; patria supraterrenal,,1.753,False,
seleccion,2,2,3090,selección; selección y valoración de las pruebas,,1.753,False,
inexpresado,2,2,3028,lugar inexpresado de la poesía; lo esencialmente inexpresado,,1.753,False,
morar,2,2,2270,morar,,1.753,False,
expresado,2,2,2646,lo expresado; poesías expresadas,,1.753,False,
resonar,2,2,3349,resuena; pasos que resuenan,,1.753,False,
turistico,2,2,3404,ciudad turística; guía turístico,,1.753,False,
aldea,2,2,2774,aldea; aldeas,,1.753,False,
